label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62
WATER,0.0,0.0,0.0,-0.06800127029418945,-0.05486375093460083,-0.02790503953937673,-0.11650633811950684,-0.15086275339126587,-0.013066403617898459,-0.1527147889137268,-0.2177114486694336,0.01169843314792729,-0.14314812421798706,-0.25011342763900757,0.042662778819163805,-0.04094189405441284,-0.3021199703216553,0.007568504145552879,-0.05755650997161865,-0.41156452894210815,0.010515419716199403,-0.07351785898208618,-0.4836416244506836,0.010086664879878526,-0.08010596036911011,-0.5414496958255768,0.011459154958089357,-0.030764877796173096,-0.30475711822509766,0.02900840337034083,-0.04291212558746338,-0.44591808319091797,0.038206851059754854,-0.061203598976135254,-0.5322374105453491,0.04064269917662955,-0.07283985614776611,-0.6024021804332733,0.04487097444589949,-0.02380305528640747,-0.2915087342262268,0.044971698844989305,-0.05489850044250488,-0.3969873785972595,0.04494860577042914,-0.08428102731704712,-0.44853124022483826,0.029452670315464502,-0.10136145353317261,-0.4920547902584076,0.022921655276974207,-0.023665010929107666,-0.26338720321655273,0.058547979170640474,-0.06938278675079346,-0.29084068536758423,0.04870909261163092,-0.10232555866241455,-0.2809433937072754,0.032569354349931245,-0.12004202604293823,-0.2677067518234253,0.0254687983041606
WATER,0.0,0.0,0.0,-0.07448506355285645,-0.06315314769744873,-0.027753284780771992,-0.12455636262893677,-0.16019940376281738,-0.019425592033655903,-0.15636253356933594,-0.23090225458145142,-0.003165225845293662,-0.1379261016845703,-0.2446311116218567,0.017995088712780216,-0.0457535982131958,-0.3049958348274231,0.004679947977422216,-0.06495195627212524,-0.4273378252983093,0.00925687828799937,-0.07616621255874634,-0.49994775652885437,0.008009831772653797,-0.08152371644973755,-0.5577862560749054,0.006914948464839199,-0.03393608331680298,-0.30535876750946045,0.024892890246121624,-0.04618239402770996,-0.446658730506897,0.03441956208786223,-0.05932646989822388,-0.5293598771095276,0.03396274463972304,-0.06790202856063843,-0.5958370566368103,0.033544569627849796,-0.02578073740005493,-0.2861860394477844,0.040397513078062275,-0.05420553684234619,-0.3970469832420349,0.04793499724706862,-0.07732939720153809,-0.44621291756629944,0.037684648649303654,-0.0891081690788269,-0.48420006036758423,0.03141176270088408,-0.024206101894378662,-0.2558777928352356,0.05261401029071067,-0.06176406145095825,-0.30350571870803833,0.05380828248104308,-0.08418309688568115,-0.3179049491882324,0.04320170672377799,-0.09334999322891235,-0.3214150667190552,0.036717745827047565
WATER,0.0,0.0,0.0,-0.07421016693115234,-0.06745141744613647,-0.006343923227206005,-0.12458175420761108,-0.09546387195587158,0.011496259181484447,-0.15192711353302002,-0.07318097352981567,0.029453902787253128,-0.17168593406677246,-0.06084489822387695,0.04980098577468084,-0.07794719934463501,-0.2165040373802185,0.06620681034652875,-0.09787434339523315,-0.2732105851173401,0.1083148990782945,-0.1105756163597107,-0.29936307668685913,0.1370319326433389,-0.12178325653076172,-0.3141670227050781,0.15678802626459287,-0.06823927164077759,-0.17776697874069214,0.08394437032072233,-0.08892452716827393,-0.21892434358596802,0.13293013470499204,-0.1089981198310852,-0.2334609031677246,0.16078395145265745,-0.1219283938407898,-0.23787003755569458,0.18128790455190824,-0.05994415283203125,-0.13219761848449707,0.09666855382053541,-0.08760172128677368,-0.15633022785186768,0.13625717656938718,-0.10726243257522583,-0.16442573070526123,0.15189536409704374,-0.12438678741455078,-0.1608235239982605,0.16390431421129392,-0.057547032833099365,-0.08292001485824585,0.10669754194347547,-0.08462738990783691,-0.09853529930114746,0.13181862728922056,-0.10304909944534302,-0.09813094139099121,0.1430812229427545,-0.11310452222824097,-0.08941340446472168,0.15440527098505186
WATER,0.0,0.0,0.0,-0.05050915479660034,-0.05638134479522705,-0.019193146734096445,-0.0921250581741333,-0.11554163694381714,-0.0017206274276304612,-0.12280130386352539,-0.12244236469268799,0.022938886301062666,-0.14107006788253784,-0.12755578756332397,0.05287737363710221,-0.03264665603637695,-0.23053932189941406,0.024445375071309172,-0.047711730003356934,-0.3256117105484009,0.04197153413429078,-0.05947518348693848,-0.38373279571533203,0.05333707818522271,-0.0648457407951355,-0.427838534116745,0.06339835712446984,-0.03522735834121704,-0.2157168984413147,0.044047318042657935,-0.04603821039199829,-0.3135265111923218,0.07277718523278054,-0.061656177043914795,-0.37643033266067505,0.08527945318951424,-0.0697164535522461,-0.4175502061843872,0.09533826598658379,-0.03920561075210571,-0.18601787090301514,0.05854410642518815,-0.07232576608657837,-0.2459735870361328,0.07614587584271248,-0.09308826923370361,-0.27486300468444824,0.07156598159804162,-0.10416293144226074,-0.2972044348716736,0.07124105432762917,-0.04802262783050537,-0.14825743436813354,0.07079609075321969,-0.08797407150268555,-0.16714131832122803,0.07380458304419335,-0.10466551780700684,-0.1708817481994629,0.06727632472052392,-0.11072176694869995,-0.17063772678375244,0.0667248774482232
WATER,0.0,0.0,0.0,-0.064797043800354,-0.049771785736083984,-0.024881165632990587,-0.11398535966873169,-0.14490288496017456,-0.015340830357757795,-0.1507021188735962,-0.21022003889083862,0.002405941560851943,-0.14740151166915894,-0.23729240894317627,0.02430658585390688,-0.04131770133972168,-0.30430668592453003,0.00425831538623811,-0.057778358459472656,-0.4119560122489929,0.007669518543394815,-0.07304781675338745,-0.48162177205085754,0.006298974463703644,-0.0820048451423645,-0.5365980863571167,0.005983409313472521,-0.02968209981918335,-0.30879610776901245,0.022331127738567602,-0.041190266609191895,-0.45126065611839294,0.030497480025502455,-0.056925952434539795,-0.5323404371738434,0.03332474998197199,-0.06845241785049438,-0.6046886742115021,0.036693928604933035,-0.02125108242034912,-0.2955930829048157,0.03585098481735827,-0.04135411977767944,-0.424034059047699,0.03847641668281199,-0.06335622072219849,-0.49493178725242615,0.028548624208184492,-0.0772290825843811,-0.5550084710121155,0.023578611975523245,-0.018500864505767822,-0.27028393745422363,0.047009231364341986,-0.04529678821563721,-0.3443678021430969,0.04123256525954844,-0.06444931030273438,-0.3810999393463135,0.02976298316380621,-0.07363247871398926,-0.41033053398132324,0.023997334605070364
WATER,0.0,0.0,0.0,-0.07039403915405273,-0.05695265531539917,-0.007407856108642363,-0.12290620803833008,-0.15481960773468018,-0.0006074662599928615,-0.15821045637130737,-0.22440040111541748,0.006342144748174405,-0.14671915769577026,-0.23630642890930176,0.015335244191788888,-0.05315101146697998,-0.30272752046585083,0.02393762401302979,-0.07218605279922485,-0.3991810083389282,0.02439340396782086,-0.08351212739944458,-0.45151767134666443,0.01972135162910149,-0.08848994970321655,-0.5022718906402588,0.015747997974955297,-0.04067051410675049,-0.3144058585166931,0.025013670390450216,-0.05529439449310303,-0.45359402894973755,0.023913580989443517,-0.06757521629333496,-0.5404973030090332,0.021360091930233693,-0.07633829116821289,-0.6225467920303345,0.021101458063327527,-0.02982085943222046,-0.3028098940849304,0.021722054174148298,-0.05343186855316162,-0.43241822719573975,0.018404342299305654,-0.07230424880981445,-0.5106271803379059,0.010972583731614804,-0.08327794075012207,-0.5769444108009338,0.007562975930028415,-0.02616119384765625,-0.2773810625076294,0.016846248945199704,-0.049576401710510254,-0.36921900510787964,0.01097573067059443,-0.06508046388626099,-0.42679911851882935,0.00386872568165586,-0.07301533222198486,-0.47796374559402466,-0.00023568748324009903
WATER,0.0,0.0,0.0,-0.07646828889846802,-0.0774686336517334,-0.025201103589978402,-0.12524980306625366,-0.1371910572052002,-0.0018812821344624808,-0.15784913301467896,-0.14082032442092896,0.032539782174382026,-0.17131561040878296,-0.12408024072647095,0.07360653678372842,-0.07294869422912598,-0.2787126898765564,0.030430068321976478,-0.09560036659240723,-0.374597430229187,0.055290979393276984,-0.10732883214950562,-0.42582398653030396,0.0715635950346325,-0.11298567056655884,-0.4716038703918457,0.08473274210885506,-0.06623095273971558,-0.24915295839309692,0.06127688387826424,-0.08425796031951904,-0.3541097044944763,0.09733814100221139,-0.10155153274536133,-0.41498863697052,0.11364884028628808,-0.11078143119812012,-0.4595983326435089,0.12432758609250527,-0.0631493330001831,-0.20657110214233398,0.08550734172061425,-0.10874408483505249,-0.24391192197799683,0.10433974961236459,-0.13995051383972168,-0.23676294088363647,0.08971069107249718,-0.1583229899406433,-0.2334132194519043,0.08308309415772897,-0.063693106174469,-0.16417205333709717,0.10776466975406152,-0.10795605182647705,-0.16892260313034058,0.11035085568622094,-0.1286778450012207,-0.15089476108551025,0.09386388311580163,-0.13637292385101318,-0.1304420828819275,0.08523093263104897
WATER,0.0,0.0,0.0,-0.07040375471115112,-0.06351935863494873,-0.029258560908147047,-0.11795222759246826,-0.12014156579971313,-0.00846418790251846,-0.15092533826828003,-0.12998992204666138,0.02467627585201626,-0.16678041219711304,-0.12922877073287964,0.06597269460826283,-0.06297320127487183,-0.26578277349472046,0.02538661048083668,-0.07727658748626709,-0.3603019714355469,0.05151631444960003,-0.08620434999465942,-0.4143904447555542,0.07080362871556645,-0.08854943513870239,-0.4578841030597687,0.08807953581481343,-0.05496114492416382,-0.2388674020767212,0.06254415348439579,-0.06851863861083984,-0.3343924283981323,0.10541971162228947,-0.08497625589370728,-0.38644564151763916,0.13339759543805485,-0.09438008069992065,-0.4240601062774658,0.15527339414029484,-0.050218403339385986,-0.20225918292999268,0.09343844041495686,-0.08281856775283813,-0.24994385242462158,0.12504068151383763,-0.10732269287109375,-0.2717946767807007,0.1302670104828394,-0.12269461154937744,-0.28932052850723267,0.1379213644590891,-0.049917519092559814,-0.16386044025421143,0.12076713279157048,-0.08362871408462524,-0.17855417728424072,0.13698558643727665,-0.10272687673568726,-0.17902517318725586,0.1361733539429224,-0.11059153079986572,-0.17007595300674438,0.14057089522748356
WATER,0.0,0.0,0.0,-0.0646355152130127,-0.06778329610824585,-0.02412483360718909,-0.11012977361679077,-0.16292375326156616,-0.008149112426750094,-0.14627140760421753,-0.22980278730392456,0.01640708852458772,-0.14157629013061523,-0.2632342576980591,0.04648303348470506,-0.027669429779052734,-0.31444311141967773,0.013970229922719568,-0.03656446933746338,-0.43041837215423584,0.012881877980120748,-0.048349976539611816,-0.50945183634758,0.00823329683292684,-0.048180341720581055,-0.5688583552837372,0.006648481040187448,-0.02197486162185669,-0.3155934810638428,0.029199191517122358,-0.02914220094680786,-0.4518900513648987,0.03823042023826417,-0.042878568172454834,-0.5388423502445221,0.03785500783372697,-0.04718118906021118,-0.6126021146774292,0.03911630917239961,-0.017360031604766846,-0.30180853605270386,0.03801113847542581,-0.030990242958068848,-0.42543500661849976,0.03558538589525995,-0.04326087236404419,-0.5040366649627686,0.01608421016383943,-0.04682236909866333,-0.577049732208252,0.005160680654384464,-0.018754899501800537,-0.26745516061782837,0.04464108977366266,-0.0592387318611145,-0.3084716796875,0.029316636881716818,-0.08721041679382324,-0.30752772092819214,0.011312921679504484,-0.10220354795455933,-0.3012710213661194,0.0024455598638581932
WATER,0.0,0.0,0.0,-0.06719547510147095,-0.05590277910232544,-0.040634544653300964,-0.11964470148086548,-0.15875059366226196,-0.03642847211420985,-0.15997830033302307,-0.2310391664505005,-0.0217110180234954,-0.16069549322128296,-0.277327299118042,-0.0017201400766566621,-0.039617300033569336,-0.3241487741470337,-0.012281159957353793,-0.05669170618057251,-0.45934566855430603,-0.011765311559145175,-0.06548386812210083,-0.5350289940834045,-0.012909617362026893,-0.06830120086669922,-0.6006151139736176,-0.012539608491067611,-0.03332018852233887,-0.32386982440948486,0.011875082651670255,-0.02496105432510376,-0.4810759127140045,0.019803663628692902,-0.031785428524017334,-0.5770008862018585,0.02040428845822362,-0.03383684158325195,-0.6582566201686859,0.022041620599623002,-0.030440807342529297,-0.3009113073348999,0.030153643252845086,-0.07146096229553223,-0.39484602212905884,0.025458959775562562,-0.1150941252708435,-0.4003419876098633,0.006675956218089141,-0.13512086868286133,-0.41243839263916016,-0.0016333085656583535,-0.030710041522979736,-0.26234865188598633,0.04526664121686963,-0.08100426197052002,-0.29947179555892944,0.029326867225165643,-0.11588126420974731,-0.27345287799835205,0.010231356049473561,-0.1265755295753479,-0.24822604656219482,0.0008328358820222093
WATER,0.0,0.0,0.0,-0.08491098880767822,-0.09313136339187622,-0.012010354685344282,-0.1309041976928711,-0.154188871383667,0.012514881653032717,-0.15272581577301025,-0.15558403730392456,0.0419751022507171,-0.16746610403060913,-0.14229846000671387,0.07629345623149675,-0.06892937421798706,-0.2791304588317871,0.06105417651428979,-0.08349686861038208,-0.36060386896133423,0.10580855873718065,-0.08964580297470093,-0.40107786655426025,0.13911639419688981,-0.09111976623535156,-0.43230774998664856,0.1648173358787517,-0.05484551191329956,-0.24358761310577393,0.08770210561647218,-0.07307231426239014,-0.30963701009750366,0.14810283747806352,-0.09124094247817993,-0.33846771717071533,0.18747839597358507,-0.09979891777038574,-0.3565853238105774,0.21748696533336442,-0.046423494815826416,-0.1980288028717041,0.10821192977323335,-0.07742828130722046,-0.23509567975997925,0.15512323645248216,-0.09960228204727173,-0.2532583475112915,0.17348775533332628,-0.11605554819107056,-0.26212215423583984,0.189206900869749,-0.046036720275878906,-0.1496405005455017,0.12544489172591966,-0.07458168268203735,-0.17693620920181274,0.1548353758205394,-0.09290856122970581,-0.18891853094100952,0.1658854213108043,-0.10143136978149414,-0.18232381343841553,0.17881119516982835
WATER,0.0,0.0,0.0,-0.08303201198577881,-0.06643116474151611,-0.014178647043934234,-0.13124710321426392,-0.12796282768249512,0.00896841814852678,-0.1583385467529297,-0.13742667436599731,0.039322131929168336,-0.1689419150352478,-0.12626683712005615,0.07518199240900003,-0.07909786701202393,-0.26910364627838135,0.0491798833582493,-0.09069818258285522,-0.35253798961639404,0.0860131547424885,-0.09231150150299072,-0.3990524411201477,0.11278280025459253,-0.08734583854675293,-0.4368076026439667,0.13418615019060098,-0.06143289804458618,-0.2439056634902954,0.078452290651569,-0.07141977548599243,-0.31256353855133057,0.1286723629210087,-0.07809120416641235,-0.3529999852180481,0.16134904479719125,-0.07615292072296143,-0.38742101192474365,0.1868003622267338,-0.04733234643936157,-0.2037627100944519,0.10258303737379038,-0.0701482892036438,-0.24623453617095947,0.14363651132322275,-0.08087021112442017,-0.2827482223510742,0.15776540493703806,-0.08659803867340088,-0.31455564498901367,0.1701556906674,-0.04152411222457886,-0.15939944982528687,0.12384897625184976,-0.06655275821685791,-0.18483483791351318,0.15030418491102182,-0.07865607738494873,-0.19720429182052612,0.15851912057138406,-0.08090275526046753,-0.20015203952789307,0.16854658877588236
